日付,all,Mon,Tue,Wed,Thu,Fri,Num_Mon,Num_Tue,Num_Wed,Num_Thu,Num_Fri
00:00:00,1.6111111111111112,1.1,,2.1,1.4500000000000002,1.9000000000000001,1,0,1,2,3
00:01:00,1.58,1.8,,1.1,1.9500000000000002,1.7,1,0,2,2,3
00:02:00,1.8399999999999999,1.2,,2.5,1.9,1.8333333333333333,1,0,2,2,3
00:03:00,1.89,1.1,,1.25,1.75,3.1,1,0,2,2,3
00:04:00,1.7599999999999998,1.1,,1.1,1.6,2.533333333333333,1,0,2,2,3
00:05:00,1.7299999999999998,1.0,,1.6,1.55,2.3333333333333335,1,0,2,2,3
00:06:00,1.77,1.1,,1.0,2.5,2.1666666666666665,1,0,2,2,3
00:07:00,1.83,1.1,,1.45,2.1500000000000004,2.3333333333333335,1,0,2,2,3
00:08:00,1.8,1.1,,1.05,2.6500000000000004,2.1333333333333333,1,0,2,2,3
00:09:00,1.39,1.0,,1.35,1.3,1.5666666666666667,1,0,2,2,3
00:10:00,1.5799999999999998,1.0,,1.9,1.6,1.5666666666666664,1,0,2,2,3
00:11:00,1.5699999999999998,1.1,,1.75,1.8,1.5999999999999999,1,0,2,2,3
00:12:00,1.6181818181818182,1.0,,2.3,1.8333333333333333,1.4000000000000001,1,0,2,3,3
00:13:00,1.6363636363636365,1.1,,2.2,1.7666666666666666,1.5,1,0,2,3,3
00:14:00,1.56,1.0,,2.4,1.45,1.366666666666667,1,0,2,2,3
00:15:00,1.56,1.0,,2.35,1.6,1.2999999999999998,1,0,2,2,3
00:16:00,1.52,1.1,,2.5999999999999996,1.0,1.4333333333333333,1,0,2,2,3
00:17:00,1.53,1.2,,2.45,1.05,1.4000000000000001,1,0,2,2,3
00:18:00,1.5,1.3,,1.5,1.9500000000000002,1.3333333333333333,1,0,2,2,3
00:19:00,1.6599999999999997,1.0,,2.1,1.65,1.5666666666666667,1,0,2,2,3
00:20:00,1.52,1.1,,1.95,1.35,1.5333333333333332,1,0,2,2,3
00:21:00,1.9099999999999997,2.1,,1.95,2.75,1.4666666666666666,1,0,2,2,3
00:22:00,1.6818181818181819,1.9,,3.1500000000000004,1.35,1.3,1,0,2,2,3
00:23:00,1.5999999999999999,1.4,,2.55,1.55,1.3,1,0,2,2,3
00:24:00,1.6818181818181814,2.2,,2.65,1.1,1.4333333333333336,1,0,2,2,3
00:25:00,1.6363636363636365,2.5,,2.75,1.15,1.2333333333333334,1,0,2,2,3
00:26:00,1.5909090909090906,2.0,,2.2,1.1,1.5666666666666664,1,0,2,2,3
00:27:00,1.4909090909090912,1.0,,1.95,1.4,1.3666666666666665,1,0,2,2,3
00:28:00,1.518181818181818,1.1,,1.6,1.8,1.5,1,0,2,2,3
00:29:00,1.65,1.0,,1.45,1.85,1.9333333333333336,1,0,2,2,3
00:30:00,1.9222222222222223,1.0,,1.65,2.4,2.4666666666666663,1,0,2,1,3
00:31:00,1.5666666666666667,1.2,,1.35,1.8,1.7,1,0,2,1,3
00:32:00,1.575,,,1.3,2.1,1.6333333333333335,0,0,2,1,3
00:33:00,1.5999999999999999,,,1.7000000000000002,2.1,1.4000000000000001,0,0,2,1,3
00:34:00,1.525,,,1.35,2.1,1.3333333333333333,0,0,2,1,3
00:35:00,1.45,,,1.15,2.1,1.4333333333333333,0,0,2,1,3
00:36:00,1.675,,,2.0,2.0,1.3666666666666665,0,0,2,1,3
00:37:00,1.7499999999999998,,,1.5499999999999998,2.6,1.4333333333333333,0,0,2,1,3
00:38:00,1.6875000000000002,,,1.6,2.2,1.7,0,0,2,1,3
00:39:00,1.5375,,,1.7000000000000002,2.1,1.3,0,0,2,1,3
00:40:00,1.55,,,1.2,2.2,1.3,0,0,1,1,3
00:41:00,1.3499999999999999,,,1.2,2.9,1.1333333333333333,0,0,1,1,3
00:42:00,1.4375,,,1.6,2.8,1.2666666666666666,0,0,1,1,3
00:43:00,1.3625,,,2.4,1.7,1.2,0,0,1,1,3
00:44:00,1.2142857142857142,,,1.2,1.8,1.2,0,0,1,1,2
00:45:00,1.3285714285714285,,,1.2,1.6,1.6,0,0,1,1,2
00:46:00,1.342857142857143,,,1.4,1.9,1.4,0,0,1,1,2
00:47:00,1.3571428571428572,,,1.2,2.1,1.35,0,0,1,1,2
00:48:00,1.514285714285714,,,1.2,2.1,1.85,0,0,1,1,2
00:49:00,1.3857142857142857,,,1.1,1.4,2.05,0,0,1,1,2
00:50:00,1.5714285714285714,,,2.1,2.0,1.7999999999999998,0,0,1,1,2
00:51:00,1.5857142857142856,,,2.0,2.0,1.85,0,0,1,1,2
00:52:00,1.9285714285714284,,,1.5,3.6,2.15,0,0,1,1,2
00:53:00,1.7285714285714282,,,1.3,2.8,1.7999999999999998,0,0,1,1,2
00:54:00,1.5285714285714287,,,1.0,1.9,2.2,0,0,1,1,2
00:55:00,1.457142857142857,,,1.3,2.4,1.7000000000000002,0,0,1,1,2
00:56:00,1.5285714285714285,,,2.4,1.9,1.55,0,0,1,1,2
00:57:00,1.5285714285714285,,,1.5,2.2,1.95,0,0,1,1,2
00:58:00,1.3857142857142857,,,1.4,2.1,1.45,0,0,1,1,2
00:59:00,1.8285714285714285,,,1.2,1.9,3.2,0,0,1,1,2
01:00:00,1.7428571428571427,,,1.5,3.6,2.0,0,0,1,1,2
01:01:00,1.3142857142857143,,,1.2,1.4,1.5,0,0,1,1,2
01:02:00,1.4285714285714286,,,1.2,1.8,1.95,0,0,1,1,2
01:03:00,1.4000000000000001,,,1.8,1.7,1.5499999999999998,0,0,1,1,2
01:04:00,1.3714285714285714,,,1.2,1.9,1.7,0,0,1,1,2
01:05:00,1.4857142857142858,,,2.2,2.9,1.1,0,0,1,1,2
01:06:00,1.2714285714285711,,,1.5,1.5,1.4,0,0,1,1,2
01:07:00,1.2142857142857142,,,1.4,1.0,1.5,0,0,1,1,2
01:08:00,1.2714285714285716,,,1.5,1.0,1.65,0,0,1,1,2
01:09:00,1.2,,,1.6,1.0,1.35,0,0,1,1,2
01:10:00,1.0857142857142856,,,1.2,1.0,1.15,0,0,1,1,2
01:11:00,1.1857142857142855,,,1.2,1.0,1.4,0,0,1,1,2
01:12:00,1.2571428571428573,,,1.2,1.8,1.35,0,0,1,1,2
01:13:00,1.157142857142857,,,1.1,1.5,1.2000000000000002,0,0,1,1,2
01:14:00,1.366666666666667,,,1.2,1.8,1.9,0,0,1,1,1
01:15:00,1.25,,,1.0,1.5,1.8,0,0,1,1,1
01:16:00,1.2,,,1.0,1.3,1.8,0,0,1,1,1
01:17:00,1.3666666666666665,,,2.2,1.4,1.5,0,0,1,1,1
01:18:00,1.2666666666666666,,,1.6,1.5,1.4,0,0,1,1,1
01:19:00,1.25,,,1.5,1.2,1.7,0,0,1,1,1
01:20:00,1.2333333333333334,,,1.4,1.2,1.7,0,0,1,1,1
01:21:00,1.133333333333333,,,1.1,1.2,1.3,0,0,1,1,1
01:22:00,1.2166666666666666,,,1.3,1.6,1.3,0,0,1,1,1
01:23:00,1.2666666666666666,,,1.6,1.5,1.4,0,0,1,1,1
01:24:00,1.1666666666666667,,,1.6,1.1,1.2,0,0,1,1,1
